model,age_year,shutter_count,condition,has_box,price_used
Sony A6600,0,42098,very_good,0,24390
Sony A5100,1,8379,very_good,1,8000
Sony A7SIII,6,1026,excellent,0,61190
Sony A7RV,0,1684,very_good,0,97700
Sony A6600,6,4903,very_good,0,26100
Sony A7IV,0,126476,fair,1,41000
Sony A1,1,99593,good,0,89490
Sony A9,4,267772,fair,0,30800
Sony A6000,12,45093,very_good,1,8700
Sony RX100VII,6,1911,very_good,1,28790
Sony A9II,5,2366,very_good,0,78690
Sony A7R,12,88172,good,1,8700
Sony A5000,10,99353,fair,1,4390
Sony ZV E10,0,8730,very_good,1,17590
Sony A1II,0,17774,good,1,169600
Sony A1II,1,7946,excellent,0,177200
Sony RX100VII,1,1657,excellent,0,28600
Sony ZV1,1,1204,excellent,1,15290
Sony ZV1F,0,607,excellent,0,9490
Sony A6300,10,1204,excellent,0,13290
Sony RX100VII,3,1204,excellent,1,31500
Sony ZV E10II,1,6339,very_good,1,29400
Sony A6100,1,5659,very_good,1,16490
Sony A7S,4,19880,good,0,7800
Sony FX30,0,1382,excellent,0,45400
Sony A7R,6,6496,good,1,9300
Sony RX100VII,2,488,very_good,0,29090
Sony A6100,7,79615,/,0,14300
Sony A6300,10,205847,fair,0,10600
Sony FX2,1,2068,excellent,1,80890
Sony A7RIV,7,19508,very_good,0,42200
Sony A7RII,8,5818,very_good,0,21690
Sony FX30,2,3505,excellent,0,49300
Sony A6600,1,30374,good,1,22190
Sony A7RIII,8,16658,very_good,0,30200
Sony A6700,2,7339,good,0,36390
Sony A1II,2,18205,excellent,1,182990
Sony A7RII,10,1784,very_good,1,21300
Sony A7R,12,208080,fair,1,8000
Sony A7R,12,60140,good,1,9290
Sony A7SII,3,3264,very_good,1,20700
Sony FX3,3,3783,very_good,1,118390
Sony A7RIII,0,7219,good,0,26290
Sony A7II,4,7244,very_good,0,12100
Sony A6300,10,263356,poor,1,10390
Sony A9III,2,48752,very_good,1,130900
Sony A7RIV,6,10053,good,1,37800
Sony ZV1F,1,1146,very_good,0,10600
Sony FX3,5,3592,very_good,0,103200
Sony A7II,2,4111,very_good,1,12200
Sony A7II,11,74799,fair,0,9500
Sony ZV1,1,460,very_good,0,13690
Sony ZV E10,5,17504,good,1,16000
Sony ZV E10II,1,8593,very_good,1,33290
Sony ZV1F,0,1561,very_good,0,9690
Sony A7SII,6,38043,very_good,1,21090
Sony A7RII,6,86556,good,1,18400
Sony A1,2,64921,good,1,88990
Sony A7RV,3,71261,good,1,84900
Sony ZV1,1,1875,very_good,1,13990
Sony A7V,1,12523,very_good,1,84600
Sony A5100,11,55870,good,0,7000
Sony A7II,0,41266,very_good,0,12090
Sony A7RIII,5,1976,excellent,0,31890
Sony A9,6,151990,/,0,30900
Sony A7RIV,1,84177,good,1,37900
Sony A7RV,0,228503,fair,1,81990
Sony A7S,11,95256,fair,1,7000
Sony A7SIII,2,2005,excellent,1,57100
Sony A5100,7,147668,fair,1,5900
Sony A7SIII,4,1041,excellent,1,55200
Sony ZV E10II,2,16183,good,0,28790
Sony A7III,4,58368,fair,1,20490
Sony ZV E10,2,10147,good,1,15700
Sony FX30,1,1784,excellent,1,49990
Sony A7II,4,3039,very_good,1,11100
Sony A7IV,5,267213,poor,1,39190
Sony ZV1F,2,477,excellent,0,9700
Sony RX100VII,1,1281,excellent,1,28700
Sony A6600,6,91057,good,1,23290
